Column1;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
0;-122.02;36.98;21;607;155;226;136;1.9063;166700;NEAR OCEAN
1;-117.34;33.15;17;4505;1140;2111;1062;3.3536;283300;NEAR OCEAN
2;-121.97;38.34;16;2331;450;1074;400;4.0329;126800;INLAND
3;-118.3;34.16;40;1875;460;869;438;3.2321;243600;<1H OCEAN
4;-122.3;38.25;18;3548;880;1476;699;3.7188;163400;NEAR BAY
5;-117.86;33.71;36;191;42;208;37;3.375;157500;<1H OCEAN
6;-117.07;32.77;34;2245;394;1849;429;3.5446;185500;NEAR OCEAN
7;-118.27;34.17;48;1560;280;825;269;5.5118;354700;<1H OCEAN
8;-122.4;37.79;52;1185;660;1007;623;1.4552;450000;NEAR BAY
9;-118.17;33.96;29;2913;787;3803;740;2.5556;146500;<1H OCEAN
10;-120.59;37.39;16;4717;1119;3589;1017;2.1061;72800;INLAND
11;-121.45;38.7;24;2159;369;1141;355;3.9853;90400;INLAND
12;-118.16;33.97;31;1363;428;1897;364;2.3929;191100;<1H OCEAN
13;-122.35;40.56;16;2801;614;1695;563;1.9;81600;INLAND
14;-122.33;37.97;45;1982;376;1179;398;3.5463;130800;NEAR BAY
15;-124.14;40.72;18;2581;499;1375;503;2.8446;100500;NEAR OCEAN
16;-118.36;33.96;21;1802;556;1286;557;2.7284;146900;<1H OCEAN
17;-118.31;33.83;50;696;311;382;234;2.775;225000;<1H OCEAN
18;-122.82;38.39;32;1437;257;752;245;4.7422;240900;<1H OCEAN
19;-118.22;33.96;32;2232;603;2361;608;2.5966;170900;<1H OCEAN
20;-118.18;33.77;36;1833;688;1128;620;1.1483;112500;NEAR OCEAN
21;-118.46;34.25;32;2217;422;1064;427;3.6989;208600;<1H OCEAN
22;-124.14;40.59;17;2985;610;1544;584;2.178;76800;NEAR OCEAN
23;-119.46;36.91;12;2980;495;1184;429;3.9141;123900;INLAND
24;-117.09;32.65;20;1445;323;573;334;2.619;145800;NEAR OCEAN
25;-118.53;34.45;10;5509;969;3002;959;5.5981;220100;<1H OCEAN
26;-117.81;33.73;19;4022;975;2334;954;3.0305;140600;<1H OCEAN
27;-117.13;34.88;21;3254;669;1548;545;2.3373;57100;INLAND
28;-118.18;33.77;29;1776;606;1391;488;1.1295;137500;NEAR OCEAN
29;-122.03;37.35;19;3811;1227;1930;1153;3.5154;311400;<1H OCEAN
30;-118.26;33.83;24;3059;536.9621513;2064;629;3.5518;184600;<1H OCEAN
31;-121.78;38.01;19;2688;469;1216;422;4.4491;133900;INLAND
32;-117.07;32.71;26;4151;823;2822;697;2.8372;123400;NEAR OCEAN
33;-117.26;32.85;42;1761;329;480;255;5.3787;500001;NEAR OCEAN
34;-121.88;37.26;25;3025;689;1755;661;3.8893;218600;<1H OCEAN
35;-121.64;39.15;15;2659;396;1159;407;5.234;124900;INLAND
36;-118.1;34.15;14;1442;369;782;343;2.7431;177500;INLAND
37;-118.25;34.02;33;1676;525;2564;515;2.1957;100800;<1H OCEAN
38;-117.81;33.66;20;2851;490;1192;463;5.8752;274200;<1H OCEAN
39;-117.95;34.02;22;1919;411;1203;363;4.2578;144100;<1H OCEAN
40;-118.44;34.5;5;1514;220;1355;215;8.1344;359000;INLAND
41;-117.99;33.75;30;1859;462;1314;418;3.0909;184400;<1H OCEAN
42;-117.27;32.83;39;1877;426;805;409;3.875;410000;NEAR OCEAN
43;-117.09;32.64;20;1999;651;1302;592;1.6321;57500;NEAR OCEAN
44;-117.7;33.47;21;1857;399;881;380;3.8403;350000;<1H OCEAN
45;-121.76;36.91;23;1276;437;1359;376;1.9609;155000;<1H OCEAN
46;-120.49;37.32;13;3474;927;2149;821;1.9528;85300;INLAND
47;-118.08;34.12;34;2921;641;1541;562;3.6827;264100;<1H OCEAN
48;-116.92;32.81;23;2668;528;1510;524;3.3669;158900;<1H OCEAN
49;-118.36;33.83;36;1660;300;943;300;5.1984;353600;<1H OCEAN
50;-116.17;33.53;13;1713;512;1978;442;2.1287;58600;INLAND
51;-117.06;32.69;13;705;149;718;155;4.4375;154900;NEAR OCEAN
52;-122.26;38.36;25;1821;344;349;179;6.9931;398800;INLAND
53;-116.98;33.83;15;2228;472;653;350;2.683;139300;INLAND
54;-117.35;34.01;23;3707;769;1938;658;2.725;95300;INLAND
55;-121.29;37.95;52;107;79;167;53;0.7917;22500;INLAND
56;-118.31;34.02;46;2217;489;1227;448;1.6851;108800;<1H OCEAN
57;-122.29;37.86;50;2485;607;1354;563;1.9483;150500;NEAR BAY
58;-122.51;37.53;17;1574;262;672;241;7.2929;355800;NEAR OCEAN
59;-118.2;33.93;36;2210;634;2341;553;2.1715;131100;<1H OCEAN
60;-122.36;37.96;31;1157;276;956;232;1.5347;80400;NEAR BAY
61;-117.28;32.8;20;1838;540;615;325;3.5486;193800;NEAR OCEAN
62;-118.27;34.15;7;2837;776;2287;736;3.008;229000;<1H OCEAN
63;-118.25;33.89;34;1367;288;1183;286;2.6812;104100;<1H OCEAN
64;-122.4;37.6;30;5351;1134;2558;1074;3.5817;369300;NEAR OCEAN
65;-117.88;33.74;25;1799;557;3416;538;3.0083;163500;<1H OCEAN
66;-118.23;33.84;25;1106;207;888;216;5.3307;207000;<1H OCEAN
67;-117.61;33.45;6;950;184;426;186;4.7237;220700;NEAR OCEAN
68;-118.52;34.21;36;2394;424;1490;427;4.3261;206700;<1H OCEAN
69;-119.73;36.56;32;1513;272;1038;272;3.0469;82700;INLAND
70;-117.73;33.53;3;6388;920;2129;819;7.8915;420600;<1H OCEAN
71;-122.32;37.91;34;2669;647;1341;555;2.6399;119600;NEAR BAY
72;-120.26;38.13;17;301;94;122;47;4.0583;87500;INLAND
73;-122.25;37.79;51;175;43;228;55;2.1;75000;NEAR BAY
74;-122.46;38.53;32;1735;331;785;309;3.6641;275800;INLAND
75;-122.48;37.78;50;2159;437;1111;417;3.5588;346400;NEAR BAY
76;-117.87;33.59;44;2499;396;910;374;6.6544;500001;<1H OCEAN
77;-118.96;37.64;11;3934;697;901;345;4.2381;242700;INLAND
78;-118.39;34.04;41;101;23;85;30;4.125;237500;<1H OCEAN
79;-122.51;37.76;43;2345;624;1439;614;2.8448;268900;NEAR OCEAN
80;-119.57;37.94;17;346;130;51;20;3.4861;137500;INLAND
81;-121.69;36.62;19;1907;323;681;270;6.0332;244900;<1H OCEAN
82;-122.66;39.03;27;1446;329;594;255;1.165;53300;INLAND
83;-121.65;36.7;29;4964;1056;2773;1036;3.0827;148100;<1H OCEAN
84;-117.24;32.78;44;2172;431;892;420;4.1742;342200;NEAR OCEAN
85;-122.68;38.46;17;3201;527;1244;495;4.7143;202900;<1H OCEAN
86;-119.59;36.72;18;1284;193;621;190;4.5375;130600;INLAND
87;-120.06;36.98;12;2710;575;1724;516;1.4712;60400;INLAND
88;-119.46;35.86;22;1750;374;1113;338;1.505;42700;INLAND
89;-122.43;37.66;29;3541;786;2259;770;4.3039;278400;NEAR OCEAN
90;-117.71;34.07;24;1948;362;1286;364;3.6;139300;INLAND
91;-122.43;37.74;52;1514;314;724;301;5.3292;300900;NEAR BAY
92;-118.06;33.91;24;4880;1044;4516;1050;4.1387;157700;<1H OCEAN
93;-122.27;38;12;1592;242;969;233;6.1576;248700;NEAR BAY
94;-118.28;34.09;52;1739;464;938;482;2.4429;228800;<1H OCEAN
95;-117.3;33.07;16;3147;765;2165;690;3.5585;284800;NEAR OCEAN
96;-118.02;33.89;36;1375;536.9621513;670;221;5.0839;198200;<1H OCEAN
97;-121.06;37.18;30;2603;507;1491;473;3.0909;123400;INLAND
98;-118.14;33.86;36;1703;325;845;308;5.0106;210800;<1H OCEAN
99;-119.81;36.76;52;1792;352;1049;357;2.4375;57100;INLAND
100;-121.3;38.7;18;7334;1332;3339;1271;3.235;124700;INLAND
101;-122.48;37.75;52;2515;494;1583;477;4.3393;317600;NEAR BAY
102;-118.5;34.26;33;2831;510;1340;504;4.8316;237300;<1H OCEAN
103;-117.74;33.85;4;5416;820;1753;583;6.9544;314000;<1H OCEAN
104;-119.03;35.37;42;2508;483;1035;442;2.6513;72300;INLAND
105;-121.65;37.11;14;6006;914;2915;898;5.9356;321700;<1H OCEAN
106;-122.48;37.71;29;1048;150;455;152;6.1278;417600;NEAR OCEAN
107;-121.26;38.66;8;1145;241;447;216;4.0781;124300;INLAND
108;-118.35;33.95;30;2661;765;2324;724;3.0519;137500;<1H OCEAN
109;-118.32;34.26;24;5106;1010;2310;957;4.4375;191500;<1H OCEAN
