Datum;Index_Mai_2000;kat1;Index_Mai_2000;kat2;kat3;kat3
01.05.2000;100;Apf;100;q;Apf;Apf
01.06.2000;100.4;asdf;100.4;w;asdf;asdf
01.07.2000;100.4;sadf;100.4;w;sadf;sadf
01.08.2000;100.2;asdf;100.2;e;asdf;asdf
01.09.2000;100.7;ca;100.7;e;ca;ca
01.10.2000;100.6;sadf;100.6;rr;sadf;sadf
01.11.2000;101.1;da;101.1;rtz;da;da
01.12.2000;101;df;101;zgf;df;df
01.01.2001;100.9;asdf;100.9;;asdf;asdf
01.02.2001;100.8;adf;100.8;;adf;adf
01.03.2001;100.9;efdsa;100.9;g;efdsa;efdsa
01.04.2001;101.2;asdf;101.2;gdfghsd;asdf;asdf
;101.8;cas;101.8;;cas;cas
01.06.2001;102;asf;102;dsfg;asf;asf
01.07.2001;101.8;afsf;101.8;fg;afsf;afsf
01.08.2001;101.2;afd;101.2;;afd;afd
01.09.2001;101.4;csa;101.4;dsfg;csa;csa
01.10.2001;101.2;cas;101.2;dsfg;cas;cas
01.11.2001;101.4;cf;101.4;g;cf;cf
01.12.2001;101.3;csa;101.3;dsfg;csa;csa
01.01.2002;101.4;f;101.4;fd;f;f
01.02.2002;101.4;sadf;101.4;gdfghsd;sadf;sadf
01.03.2002;101.5;fq;101.5;r;fq;fq
01.04.2002;102.3;wf;102.3;t;wf;wf
01.05.2002;102.4;wqf;102.4;er;wqf;wqf
01.06.2002;102.3;w;102.3;t;w;w
01.07.2002;101.8;f;101.8;;f;f
01.08.2002;101.7;f;101.7;g;f;f
01.09.2002;101.9;wqf;101.9;dgh;wqf;wqf
01.10.2002;102.5;f;102.5;h;f;f
01.11.2002;102.3;w;102.3;h;w;w
;102.2;fw;102.2;gdgh;fw;fw
01.01.2003;102.3;f;102.3;;f;f
01.02.2003;102.4;w;102.4;h;w;w
01.03.2003;102.8;f;102.8;gd;f;f
01.04.2003;103;w;103;s;w;w
01.05.2003;102.8;f;102.8;g;f;f
01.06.2003;102.9;qw;102.9;d;qw;qw
01.07.2003;102;f;102;fds;f;f
01.08.2003;102.3;wf;102.3;;wf;wf
01.09.2003;102.4;wf;102.4;g;wf;wf
01.10.2003;102.9;f;102.9;fhd;f;f
01.11.2003;102.8;wf;102.8;;wf;wf
01.12.2003;102.8;w;102.8;gdh;w;w
01.01.2004;102.5;efdsa;102.5;;efdsa;efdsa
01.02.2004;102.5;fewf;102.5;hd;fewf;fewf
01.03.2004;102.7;f;102.7;;f;f
01.04.2004;103.6;;103.6;h;;
01.05.2004;103.8;fw;103.8;h;;
01.06.2004;104;efdsa;104;dfh;;
01.07.2004;102.9;fw;102.9;dsfg;;
01.08.2004;103.3;;103.3;h;;
01.09.2004;103.3;wf;103.3;sd;;
01.10.2004;104.3;;104.3;h;;
01.11.2004;104.4;f;104.4;s;;
01.12.2004;104.2;fwqwf;104.2;h;;
01.01.2005;103.7;;103.7;;;
01.02.2005;103.9;gfewtght;103.9;d;;
01.03.2005;104.2;gh;104.2;h;;
01.04.2005;105;Apf;105;t;;
;104.9;asdf;104.9;t;;
01.06.2005;104.7;sadf;104.7;;;
01.07.2005;104.1;asdf;104.1;g;;
01.08.2005;104.3;ca;104.3;;;
01.09.2005;104.7;sadf;104.7;gh;;
01.10.2005;105.7;da;105.7;d;;
01.11.2005;105.4;df;105.4;s;;
01.12.2005;105.2;asdf;105.2;g;;
01.01.2006;105;adf;105;th;;
01.02.2006;105.4;efdsa;105.4;t;;
01.03.2006;105.3;asdf;105.3;h;;
01.04.2006;106.2;cas;106.2;t;;
01.05.2006;106.4;asf;106.4;hz;;
01.06.2006;106.3;afsf;106.3;u;;
01.07.2006;105.6;afd;105.6;zrj;;
01.08.2006;105.8;csa;105.8;zkjtz;;
01.09.2006;105.6;cas;105.6;ku;;
01.10.2006;105.9;cf;105.9;ku;;
01.11.2006;105.9;csa;105.9;;;
01.12.2006;105.9;f;105.9;fds;;
01.01.2007;105.2;sadf;105.2;;;
01.02.2007;105.4;fq;105.4;hsghdsg;;
01.03.2007;105.4;wf;105.4;;;
01.04.2007;106.6;wqf;106.6;;;
01.05.2007;106.9;w;106.9;gas;;
01.06.2007;107;f;107;;;
01.07.2007;106.4;f;106.4;rg;;
01.08.2007;106.3;wqf;106.3;ge;;
01.09.2007;106.4;f;106.4;;;
01.10.2007;107.3;w;107.3;;;
01.11.2007;107.8;fw;107.8;gf;;
01.12.2007;108;f;108;g;;
01.01.2008;107.7;w;107.7;dgh;;
;107.9;f;107.9;s;;
01.03.2008;108.2;w;108.2;rg;;
01.04.2008;109.1;f;109.1;gr;;
01.05.2008;109.9;qw;109.9;rgr;;
01.06.2008;110.1;f;110.1;g;;
01.07.2008;109.6;wf;109.6;rg;;
01.08.2008;109.4;wf;109.4;r;;
01.09.2008;109.5;f;109.5;;;
01.10.2008;110.1;wf;110.1;th;;
01.11.2008;109.3;w;109.3;tr;;
01.12.2008;108.8;efdsa;108.8;h;;
01.01.2009;107.9;fewf;107.9;th;;
01.02.2009;108.1;f;108.1;;;
01.03.2009;107.8;;107.8;th;;
01.04.2009;108.7;fw;108.7;t;;
01.05.2009;108.9;efdsa;108.9;h;;
01.06.2009;109.1;fw;109.1;hj;;
01.07.2009;108.4;;108.4;z;;
01.08.2009;108.5;wf;108.5;;;
01.09.2009;108.5;;108.5;t;;
01.10.2009;109.1;f;109.1;sg;;
01.11.2009;109.3;fwqwf;109.3;g;;
01.12.2009;109.1;;109.1;grs;;
01.01.2010;109;gfewtght;109;fr;;
01.02.2010;109.1;gh;109.1;f;;
01.03.2010;109.3;Apf;109.3;r;;
01.04.2010;110.2;asdf;110.2;q;;
01.05.2010;110.1;sadf;110.1;w;;
01.06.2010;109.6;asdf;109.6;w;;
01.07.2010;108.8;ca;108.8;e;;
01.08.2010;108.8;sadf;108.8;e;;
01.09.2010;108.8;da;108.8;rr;;
01.10.2010;109.3;df;109.3;rtz;;
01.11.2010;109.6;asdf;109.6;zgf;;
;109.6;adf;109.6;;;
01.01.2011;109.3;efdsa;109.3;;;
01.02.2011;109.7;asdf;109.7;g;;
01.03.2011;110.4;cas;110.4;gdfghsd;;
01.04.2011;110.5;asf;110.5;;;
01.05.2011;110.5;afsf;110.5;dsfg;;
01.06.2011;110.2;afd;110.2;fg;;
01.07.2011;109.3;csa;109.3;;;
01.08.2011;109;cas;109;dsfg;;
01.09.2011;109.3;cf;109.3;dsfg;;
01.10.2011;109.2;csa;109.2;g;;
01.11.2011;109;f;109;dsfg;;
01.12.2011;108.9;sadf;108.9;fd;;
01.01.2012;108.4;fq;108.4;gdfghsd;;
01.02.2012;108.7;wf;108.7;r;;
01.03.2012;109.3;wqf;109.3;t;;
01.04.2012;109.4;w;109.4;er;;
01.05.2012;109.4;f;109.4;t;;
01.06.2012;109.1;f;109.1;;;
01.07.2012;108.5;wqf;108.5;g;;
01.08.2012;108.5;f;108.5;dgh;;
01.09.2012;108.8;w;108.8;h;;
01.10.2012;109;fw;109;h;;
01.11.2012;108.6;f;108.6;gdgh;;
01.12.2012;108.4;w;108.4;;;
01.01.2013;108.1;f;108.1;h;;
01.02.2013;108.4;w;108.4;gd;;
01.03.2013;108.7;f;108.7;s;;
01.04.2013;108.7;qw;108.7;g;;
01.05.2013;108.8;f;108.8;d;;
01.06.2013;108.9;wf;108.9;fds;;
01.07.2013;108.5;wf;108.5;;;
01.08.2013;108.5;f;108.5;g;;
01.09.2013;108.8;wf;108.8;fhd;;
01.10.2013;108.7;w;108.7;;;
01.11.2013;108.7;efdsa;108.7;gdh;;
01.12.2013;108.5;fewf;108.5;;;
01.01.2014;108.2;f;108.2;hd;;
01.02.2014;108.3;;108.3;;;
01.03.2014;108.7;fw;108.7;h;;
01.04.2014;108.7;efdsa;108.7;h;;
01.05.2014;109.1;fw;109.1;dfh;;
01.06.2014;109;;109;dsfg;;
01.07.2014;108.6;wf;108.6;h;;
01.08.2014;108.5;;108.5;sd;;
01.09.2014;108.7;f;108.7;h;;
01.10.2014;108.7;fwqwf;108.7;s;;
01.11.2014;108.6;;108.6;h;;
01.12.2014;108.1;gfewtght;108.1;;;
01.01.2015;107.6;gh;107.6;d;;
01.02.2015;107.4;Apf;107.4;h;;
01.03.2015;107.7;asdf;107.7;t;;
01.04.2015;107.5;sadf;107.5;t;;
01.05.2015;107.8;asdf;107.8;;;
01.06.2015;107.8;ca;107.8;g;;
01.07.2015;107.2;sadf;107.2;;;
01.08.2015;107;da;107;gh;;
01.09.2015;107.1;df;107.1;d;;
01.10.2015;107.2;asdf;107.2;s;;
01.11.2015;107.1;adf;107.1;g;;
01.12.2015;106.7;efdsa;106.7;th;;
01.01.2016;106.3;asdf;106.3;t;;
01.02.2016;106.5;cas;106.5;h;;
01.03.2016;106.8;asf;106.8;t;;
01.04.2016;107.1;afsf;107.1;hz;;
01.05.2016;107.3;afd;107.3;u;;
01.06.2016;107.4;csa;107.4;zrj;;
01.07.2016;107;cas;107;zkjtz;;
01.08.2016;106.9;cf;106.9;ku;;
01.09.2016;106.9;csa;106.9;ku;;
01.10.2016;107;f;107;;;
01.11.2016;106.8;sadf;106.8;fds;;
01.12.2016;106.7;fq;106.7;;;
01.01.2017;106.6;wf;106.6;hsghdsg;;
01.02.2017;107.2;wqf;107.2;;;
01.03.2017;107.4;w;107.4;;;
01.04.2017;107.6;f;107.6;gas;;
01.05.2017;107.8;f;107.8;;;
01.06.2017;107.7;wqf;107.7;rg;;
01.07.2017;107.3;f;107.3;ge;;
01.08.2017;107.4;w;107.4;;;
01.09.2017;107.6;fw;107.6;;;
01.10.2017;107.7;f;107.7;gf;;
01.11.2017;107.6;w;107.6;g;;
01.12.2017;107.6;f;107.6;dgh;;
01.01.2018;107.4;w;107.4;s;;
01.02.2018;107.8;f;107.8;rg;;
01.03.2018;108.2;qw;108.2;gr;;
01.04.2018;108.5;f;108.5;rgr;;
01.05.2018;108.9;wf;108.9;g;;
01.06.2018;108.9;wf;108.9;rg;;
01.07.2018;108.6;f;108.6;r;;
01.08.2018;108.6;wf;108.6;;;
01.09.2018;108.7;w;108.7;th;;
01.10.2018;108.9;efdsa;108.9;tr;;
01.11.2018;108.6;fewf;108.6;h;;
01.12.2018;108.3;f;108.3;th;;
01.01.2019;108;;108;;;
01.02.2019;108.5;fw;108.5;th;;
01.03.2019;109;efdsa;109;t;;
01.04.2019;109.2;fw;109.2;h;;
01.05.2019;109.6;;109.6;hj;;
01.06.2019;109.5;wf;109.5;z;;
01.07.2019;109;;109;;;
01.08.2019;109;f;109;t;;
01.09.2019;108.9;fwqwf;108.9;sg;;
01.10.2019;108.6;;108.6;g;;
01.11.2019;108.5;gfewtght;108.5;grs;;
01.12.2019;108.5;gh;108.5;sa;;
01.01.2020;108.3;Apf;108.3;f;;
01.02.2020;108.4;asdf;108.4;r;;
01.03.2020;108.5;sadf;108.5;q;;
01.04.2020;108.1;asdf;108.1;w;;
01.05.2020;108.1;ca;108.1;w;;
01.06.2020;108.1;sadf;108.1;e;;
01.07.2020;108;da;108;e;;
01.08.2020;108;df;108;rr;;
01.09.2020;108;asdf;108;rtz;;
01.10.2020;108;adf;108;zgf;;
01.11.2020;107.7;efdsa;107.7;;;
01.12.2020;107.6;asdf;107.6;;;
01.01.2021;107.7;cas;107.7;g;;
01.02.2021;107.8;asf;107.8;gdfghsd;;
01.03.2021;108.2;afsf;108.2;;;
01.04.2021;108.4;afd;108.4;dsfg;;
01.05.2021;108.7;csa;108.7;fg;;
01.06.2021;108.8;cas;108.8;;;
01.07.2021;108.7;cf;108.7;dsfg;;
01.08.2021;109;csa;109;dsfg;;
01.09.2021;109;f;109;g;;
01.10.2021;109.3;sadf;109.3;dsfg;;
01.11.2021;109.4;fq;109.4;fd;;
01.12.2021;109.3;wf;109.3;gdfghsd;;
01.01.2022;109.4;wqf;109.4;r;;
01.02.2022;110.2;w;110.2;t;;
01.03.2022;110.8;f;110.8;er;;
01.04.2022;111.2;f;111.2;t;;
01.05.2022;111.9;wqf;111.9;;;
01.06.2022;112.5;f;112.5;g;;
01.07.2022;112.4;w;112.4;dgh;;
01.08.2022;112.7;fw;112.7;h;;
01.09.2022;112.5;f;112.5;h;;
01.10.2022;112.6;w;112.6;gdgh;;
01.11.2022;112.6;f;112.6;;;
01.12.2022;112.4;w;112.4;h;;
01.01.2023;113;f;113;gd;;
01.05.2000;100;Apf;100;s;;
01.06.2000;100.4;asdf;100.4;g;;
01.07.2000;100.4;sadf;100.4;d;;
01.08.2000;100.2;asdf;100.2;fds;;
01.09.2000;100.7;ca;100.7;;;
01.10.2000;100.6;sadf;100.6;g;;
01.11.2000;101.1;da;101.1;fhd;;
01.12.2000;101;df;101;;;
01.01.2001;100.9;asdf;100.9;gdh;;
01.02.2001;100.8;adf;100.8;;;
01.03.2001;100.9;efdsa;100.9;hd;;
01.04.2001;101.2;asdf;101.2;;;
;101.8;cas;101.8;h;;
01.06.2001;102;asf;102;h;;
01.07.2001;101.8;afsf;101.8;dfh;;
01.08.2001;101.2;afd;101.2;dsfg;;
01.09.2001;101.4;csa;101.4;h;;
01.10.2001;101.2;cas;101.2;sd;;
01.11.2001;101.4;cf;101.4;h;;
01.12.2001;101.3;csa;101.3;s;;
01.01.2002;101.4;f;101.4;h;;
01.02.2002;101.4;sadf;101.4;;;
01.03.2002;101.5;fq;101.5;d;;
01.04.2002;102.3;wf;102.3;h;;
01.05.2002;102.4;wqf;102.4;t;;
01.06.2002;102.3;w;102.3;t;;
01.07.2002;101.8;f;101.8;;;
01.08.2002;101.7;f;101.7;g;;
01.09.2002;101.9;wqf;101.9;;;
01.10.2002;102.5;f;102.5;gh;;
01.11.2002;102.3;w;102.3;d;;
;102.2;fw;102.2;s;;
01.01.2003;102.3;f;102.3;g;;
01.02.2003;102.4;w;102.4;th;;
01.03.2003;102.8;f;102.8;t;;
01.04.2003;103;w;103;h;;
01.05.2003;102.8;f;102.8;t;;
01.06.2003;102.9;qw;102.9;hz;;
01.07.2003;102;f;102;u;;
01.08.2003;102.3;wf;102.3;zrj;;
01.09.2003;102.4;wf;102.4;zkjtz;;
01.10.2003;102.9;f;102.9;ku;;
01.11.2003;102.8;wf;102.8;ku;;
01.12.2003;102.8;w;102.8;;;
01.01.2004;102.5;efdsa;102.5;fds;;
01.02.2004;102.5;fewf;102.5;;;
01.03.2004;102.7;f;102.7;hsghdsg;;
01.04.2004;103.6;;103.6;;;
01.05.2004;103.8;fw;103.8;;;
01.06.2004;104;efdsa;104;gas;;
01.07.2004;102.9;fw;102.9;;;
01.08.2004;103.3;;103.3;rg;;
01.09.2004;103.3;wf;103.3;ge;;
01.10.2004;104.3;;104.3;;;
01.11.2004;104.4;f;104.4;;;
01.12.2004;104.2;fwqwf;104.2;gf;;
01.01.2005;103.7;;103.7;g;;
01.02.2005;103.9;gfewtght;103.9;dgh;;
01.03.2005;104.2;gh;104.2;s;;
01.04.2005;105;Apf;105;rg;;
;104.9;asdf;104.9;gr;;
01.06.2005;104.7;sadf;104.7;rgr;;
01.07.2005;104.1;asdf;104.1;g;;
01.08.2005;104.3;ca;104.3;rg;;
01.09.2005;104.7;sadf;104.7;r;;
01.10.2005;105.7;da;105.7;;;
01.11.2005;105.4;df;105.4;th;;
01.12.2005;105.2;asdf;105.2;tr;;
01.01.2006;105;adf;105;h;;
01.02.2006;105.4;efdsa;105.4;th;;
01.03.2006;105.3;asdf;105.3;;;
01.04.2006;106.2;cas;106.2;th;;
01.05.2006;106.4;asf;106.4;t;;
01.06.2006;106.3;afsf;106.3;h;;
01.07.2006;105.6;afd;105.6;hj;;
01.08.2006;105.8;csa;105.8;z;;
01.09.2006;105.6;cas;105.6;;;
01.10.2006;105.9;cf;105.9;t;;
01.11.2006;105.9;csa;105.9;sg;;
01.12.2006;105.9;f;105.9;g;;
01.01.2007;105.2;sadf;105.2;grs;;
01.02.2007;105.4;fq;105.4;so;;
01.03.2007;105.4;wf;105.4;f;;
01.04.2007;106.6;wqf;106.6;r;;
01.05.2007;106.9;w;106.9;q;;
01.06.2007;107;f;107;w;;
01.07.2007;106.4;f;106.4;w;;
01.08.2007;106.3;wqf;106.3;e;;
01.09.2007;106.4;f;106.4;e;;
01.10.2007;107.3;w;107.3;rr;;
01.11.2007;107.8;fw;107.8;rtz;;
01.12.2007;108;f;108;zgf;;
01.01.2008;107.7;w;107.7;;;
;107.9;f;107.9;;;
01.03.2008;108.2;w;108.2;g;;
01.04.2008;109.1;f;109.1;gdfghsd;;
01.05.2008;109.9;qw;109.9;;;
01.06.2008;110.1;f;110.1;dsfg;;
01.07.2008;109.6;wf;109.6;fg;;
01.08.2008;109.4;wf;109.4;;;
01.09.2008;109.5;f;109.5;dsfg;;
01.10.2008;110.1;wf;110.1;dsfg;;
01.11.2008;109.3;w;109.3;g;;
01.12.2008;108.8;efdsa;108.8;dsfg;;
01.01.2009;107.9;fewf;107.9;fd;;
01.02.2009;108.1;f;108.1;gdfghsd;;
01.03.2009;107.8;;107.8;r;;
01.04.2009;108.7;fw;108.7;t;;
01.05.2009;108.9;efdsa;108.9;er;;
01.06.2009;109.1;fw;109.1;t;;
01.07.2009;108.4;;108.4;;;
01.08.2009;108.5;wf;108.5;g;;
01.09.2009;108.5;;108.5;dgh;;
01.10.2009;109.1;f;109.1;h;;
01.11.2009;109.3;fwqwf;109.3;h;;
01.12.2009;109.1;;109.1;gdgh;;
01.01.2010;109;gfewtght;109;;;
01.02.2010;109.1;gh;109.1;h;;
