Ranint1;Randint2;Randint3;int3vers
15;54;7;1
14;68;7;2
21;72;2;3
36;45;5;1
79;12;67;2
42;52;71;3
50;60;68;1
57;4;4;2
5;10;30;3
57;46;96;1
45;5;46;2
89;62;96;3
15;24;10;1
31;13;1;2
39;93;65;3
33;87;51;1
71;83;65;2
12;34;2;3
18;8;58;1
11;10;51;2
63;89;58;3
4;61;2;1
11;2;42;2
82;21;88;3
53;96;22;1
66;25;30;2
64;83;95;3
96;57;45;1
36;13;4;2
3;89;43;3
74;23;37;1
18;77;39;2
89;88;32;3
46;44;94;1
21;39;2;2
88;30;96;3
32;70;48;1
48;89;69;2
54;52;84;3
29;55;25;1
45;74;64;2
44;81;51;3
61;48;19;1
78;26;69;2
24;77;12;3
94;38;28;1
41;66;34;2
27;77;88;3
84;66;57;1
5;17;64;2
12;56;42;3
16;98;16;1
50;48;16;2
73;11;84;3
3;7;44;1
31;71;5;2
41;62;39;3
68;67;2;1
8;28;98;2
13;41;63;3
92;56;26;1
90;78;8;2
43;6;37;3
3;41;43;1
93;81;73;2
28;88;34;3
58;10;61;1
74;49;64;2
27;31;87;3
52;46;93;1
88;2;45;2
76;66;19;3
38;93;62;1
69;85;55;2
79;29;0;3
70;98;53;1
47;35;96;2
8;93;17;3
28;74;13;1
12;64;87;2
57;96;35;3
63;38;55;1
1;99;41;2
60;51;89;3
37;73;73;1
23;98;68;2
31;74;34;3
59;8;76;1
16;41;2;2
20;92;54;3
6;22;7;1
77;36;59;2
41;98;1;3
48;26;28;1
55;9;4;2
43;56;13;3
72;59;73;1
16;95;11;2
32;79;21;3
14;37;11;1
81;18;18;2
77;29;89;3
33;44;61;1
72;62;28;2
22;34;5;3
72;91;46;1
33;69;30;2
50;80;34;3
21;92;24;1
38;90;58;2
64;27;52;3
38;49;37;1
58;47;34;2
81;79;23;3
33;12;100;1
3;76;78;2
7;78;17;3
81;19;44;1
68;72;46;2
39;69;35;3
86;78;51;1
49;80;99;2
12;46;71;3
47;73;29;1
61;61;32;2
53;61;33;3
30;6;73;1
78;36;59;2
51;89;36;3
89;79;34;1
77;2;99;2
88;17;29;3
18;48;74;1
93;33;49;2
16;32;39;3
37;50;11;1
77;11;82;2
